file,category,functions,classes,imports,size_bytes
.venv\Lib\site-packages\idna\intranges.py,other,4,0,1,1851
.venv\Lib\site-packages\idna\package_data.py,other,0,0,0,21
.venv\Lib\site-packages\idna\uts46data.py,other,0,0,2,234325
.venv\Lib\site-packages\pip\__init__.py,other,1,0,2,357
.venv\Lib\site-packages\pip\__main__.py,other,0,0,3,854
.venv\Lib\site-packages\pip\__pip-runner__.py,other,2,1,4,1450
.venv\Lib\site-packages\pip\_internal\__init__.py,other,1,0,3,513
.venv\Lib\site-packages\pip\_internal\build_env.py,other,15,3,19,10700
.venv\Lib\site-packages\pip\_internal\cache.py,other,17,5,14,10369
.venv\Lib\site-packages\pip\_internal\cli\__init__.py,other,0,0,0,132
.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py,other,3,0,8,6865
.venv\Lib\site-packages\pip\_internal\cli\base_command.py,other,9,1,22,8625
.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,other,28,1,17,30116
.venv\Lib\site-packages\pip\_internal\cli\command_context.py,other,3,1,2,774
.venv\Lib\site-packages\pip\_internal\cli\index_command.py,other,7,2,14,5677
.venv\Lib\site-packages\pip\_internal\cli\main.py,other,1,0,11,2817
.venv\Lib\site-packages\pip\_internal\cli\main_parser.py,other,3,0,10,4338
.venv\Lib\site-packages\pip\_internal\cli\parser.py,other,17,4,10,10825
.venv\Lib\site-packages\pip\_internal\cli\progress_bars.py,other,4,0,6,2717
.venv\Lib\site-packages\pip\_internal\cli\req_command.py,other,10,1,23,12250
.venv\Lib\site-packages\pip\_internal\cli\spinners.py,other,15,4,8,5118
.venv\Lib\site-packages\pip\_internal\cli\status_codes.py,other,0,0,0,116
.venv\Lib\site-packages\pip\_internal\commands\__init__.py,other,2,0,5,3882
.venv\Lib\site-packages\pip\_internal\commands\cache.py,other,12,1,10,8107
.venv\Lib\site-packages\pip\_internal\commands\check.py,other,1,1,9,2268
.venv\Lib\site-packages\pip\_internal\commands\completion.py,other,2,1,7,4287
.venv\Lib\site-packages\pip\_internal\commands\configuration.py,other,14,1,11,9766
.venv\Lib\site-packages\pip\_internal\commands\debug.py,other,11,1,19,6797
.venv\Lib\site-packages\pip\_internal\commands\download.py,other,2,1,12,5273
.venv\Lib\site-packages\pip\_internal\commands\freeze.py,other,4,1,8,3203
.venv\Lib\site-packages\pip\_internal\commands\hash.py,other,3,1,9,1703
.venv\Lib\site-packages\pip\_internal\commands\help.py,other,1,1,6,1132
.venv\Lib\site-packages\pip\_internal\commands\index.py,other,4,1,15,4731
.venv\Lib\site-packages\pip\_internal\commands\inspect.py,other,3,1,12,3189
.venv\Lib\site-packages\pip\_internal\commands\install.py,other,9,1,31,29390
.venv\Lib\site-packages\pip\_internal\commands\list.py,other,13,2,18,12769
.venv\Lib\site-packages\pip\_internal\commands\search.py,other,7,2,18,5626
.venv\Lib\site-packages\pip\_internal\commands\show.py,other,5,2,9,7857
.venv\Lib\site-packages\pip\_internal\commands\uninstall.py,other,2,1,12,3892
.venv\Lib\site-packages\pip\_internal\commands\wheel.py,other,2,1,15,6414
.venv\Lib\site-packages\pip\_internal\configuration.py,other,24,1,10,14005
.venv\Lib\site-packages\pip\_internal\distributions\__init__.py,other,1,0,4,858
.venv\Lib\site-packages\pip\_internal\distributions\base.py,other,4,1,5,1783
.venv\Lib\site-packages\pip\_internal\distributions\installed.py,other,3,1,4,842
.venv\Lib\site-packages\pip\_internal\distributions\sdist.py,other,9,1,8,6751
.venv\Lib\site-packages\pip\_internal\distributions\wheel.py,other,3,1,5,1317
.venv\Lib\site-packages\pip\_internal\exceptions.py,other,44,36,20,26481
.venv\Lib\site-packages\pip\_internal\index\__init__.py,other,0,0,0,30
.venv\Lib\site-packages\pip\_internal\index\collector.py,collector,26,8,25,16265
.venv\Lib\site-packages\pip\_internal\index\package_finder.py,other,41,6,30,38076
.venv\Lib\site-packages\pip\_internal\index\sources.py,other,25,6,10,8632
.venv\Lib\site-packages\pip\_internal\locations\__init__.py,other,18,0,20,14925
